name,version,location,github_url,curse_modid,curse_fileid,side,extra_folder
DenseOres,1.6.2,Curse,,224942,2234692,BOTH,
Draconic Evolution,1.1.19,Github,https://github.com/GTNewHorizons/Draconic-Evolution/releases/download/1.1.19-GTNH/Draconic-Evolution-1.1.19-GTNH.jar,,,BOTH,
EiraMoticons,1.3.88,Curse,,230849,2501564,BOTH,
Ender Batteries,0.1-5,Curse,,246226,2345305,BOTH,
EnderCore,0.2.18,Github,https://github.com/GTNewHorizons/EnderCore/releases/download/0.2.18/endercore-0.2.18.jar,,,BOTH,
EnderIO,2.5.2,Github,https://github.com/GTNewHorizons/EnderIO/releases/download/2.5.2/EnderIO-2.5.2.jar,,,BOTH,
EnderStorage,1.4.12,Github,https://github.com/GTNewHorizons/EnderStorage/releases/download/1.4.12/EnderStorage-1.7.10-1.4.12.jar,,,BOTH,
Epic Siege Mod,10.0.148,Curse,,229449,2288000,BOTH,
Eternal Singularity,1.1.2,Github,https://github.com/GTNewHorizons/Eternal-Singularity/releases/download/1.1.2/eternalsingularity-1.1.2.jar,,,BOTH,
Ex Astris Rebirth,1.01-45,Github,https://github.com/Ex-Astris-Rebirth/Ex-Astris-Rebirth/releases/download/1.01-45/Ex-Astris-Rebirth-MC1.7.10-1.01-45.jar,,,BOTH,
Ex-Nihilo,1.40,Github,https://github.com/LegacyModdingMC/ex-nihilo/releases/download/1.40/exnihilo-1.40.jar,,,BOTH,
ExtraCells,2.5.34,Github,https://github.com/GTNewHorizons/ExtraCells2/releases/download/2.5.34/ExtraCells-2.5.34.jar,,,BOTH,
ExtraPlanets,2.1.4,Curse,,241291,3214411,BOTH,
ExtraTiC,1.4.6,Curse,,72728,2299292,BOTH,
Extra Utilities,1.2.12,Curse,,225561,2264383,BOTH,
FastCraft,1.25,Curse,,242677,2522249,BOTH,
FlatBedrock,1.0.2,Curse,,78886,2218516,BOTH,
ForgeMultipart,1.3.4,Github,https://github.com/GTNewHorizons/ForgeMultipart/releases/download/1.3.4/ForgeMultipart-1.3.4.jar,,,BOTH,1.7.10
ForgeRelocation,0.0.3,Github,https://github.com/GTNewHorizons/ForgeRelocation/releases/download/0.0.3/ForgeRelocation-1.7.10-0.0.3.jar,,,BOTH,
ForgeRelocationFMP,0.0.4,Github,https://github.com/GTNewHorizons/ForgeRelocationFMP/releases/download/0.0.4/ForgeRelocationFMP-1.7.10-0.0.4.jar,,,BOTH,
FTBLib,1.0.19,Github,https://github.com/GTNewHorizons/FTB-Library/releases/download/1.0.19-GTNH/FTBLib-1.0.19-GTNH.jar,,,BOTH,
FTBTweaks,1.0.2,Curse,,237103,2320394,BOTH,
FTBUtilities,1.1.1,Github,https://github.com/GTNewHorizons/FTB-Utilities/releases/download/1.1.1-GTNH/FTBUtilities-1.1.1-GTNH.jar,,,BOTH,
GalactiCraft,3.0.12.504,Curse,,564236,4501439,BOTH,
GardenOfGlass,null,Curse,,232502,2246106,BOTH,
GTNHLib,0.0.13,Github,https://github.com/GTNewHorizons/GTNHLib/releases/download/0.0.13/gtnhlib-0.0.13.jar,,,BOTH,
Guilded Games Util,1.3.2,Curse,,228114,2273362,BOTH,
Hardcore Wither,1.1.3,Curse,,237407,2282681,BOTH,
Hardcore Map Reset,2.2.0,Curse,,222536,2248866,BOTH,
Hodgepodge,2.3.9,Github,https://github.com/GTNewHorizons/Hodgepodge/releases/download/2.3.9/hodgepodge-2.3.9.jar,,,BOTH,
iChunUtil,4.2.3,Curse,,229060,2338148,BOTH,
IguanaTweaks,2.3.0-,Github,https://github.com/GTNewHorizons/IguanaTweaksTConstruct/releases/download/2.3.0/IguanaTweaksTConstruct-2.3.0.jar,,,BOTH,
Immersive Engineering,0.7.7,Curse,,231951,2299019,BOTH,
InfiniBows,1.3.0.20,Curse,,62121,2217188,BOTH,
